RN_proxy_label,additional_evidence,bc,cohort,evidence,h,kappa,legacy_reference_level,n,physical_label,physical_level,reason,sources
ferro-like,,PBC,validation,"N12/16 ferro order amplitude stable (<6% fall), high Binder; small positive field continuation, finite-size evidence only",0.118,0.427,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/5ea46f3345b570c9b4a7eb6874fc51e5af8c6302e8e2bcee491d89dcf5207b48.npz;results/stage6_v1/reference_atlas/cache/6c1f07ef209414628f6eaddc65e1823fec91e3c701397af243ac49f7167470d6.npz;results/stage6_v1/reference_atlas/cache/0d4d8e9107749b43ba14dd0014c15a5189d6c881884b083f6aa3a02f00838969.npz
antiphase-like,"{'classical_defect_gap': 0.6159999999999997, 'local_h_over_gap': 0.029220779220779234, 'criterion': 'h/Delta_classical<=.05; N12/16 order, fourth-moment Binder, polarization and<2%size drop jointly agree. This local energy-scale check is NOT an operator-norm perturbation theorem or an exact phase boundary.'}",PBC,validation,N12/16 period4 amplitude stable (<6% fall) and complex-order Binder high; finite-size ordered interior evidence,0.018,0.577,Rlarge_ED_interior,8;12;16,antiphase-like,R0_extension_low_field_multiN,"Classical ordered limit with a nonzero independently enumerated defect gap, small transverse field relative to that local scale, and strong multi-size order/Binder evidence.",results/stage6_v1/reference_atlas/cache/f567e68e9a5dc6a1afe992575d688933f85ac00b79d40406c9ade66897454352.npz;results/stage6_v1/reference_atlas/cache/c66a53dbe49968a8011e3d20fb9a8ce45a554cedd3d4943594e098e5b12aeab6.npz;results/stage6_v1/reference_atlas/cache/d69079e09eb203c149286341ed1bb678d47b73aeac4957d92cb90f3906b7eb50.npz
antiphase-like,,PBC,validation,N12/16 period4 amplitude stable (<6% fall) and complex-order Binder high; finite-size ordered interior evidence,0.058,0.577,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/f236df4ef2550ca2cb88077d65ac7cfe68ace2e0054ac2e01283b89cad01701e.npz;results/stage6_v1/reference_atlas/cache/e6774b983cf60845f823dc881f05b8b7681e502194c702fa9c273f07c08482ec.npz;results/stage6_v1/reference_atlas/cache/79b6e85fb4a29888f09cf29a02062e639a8af2d2146edb422e96e199a41783bc.npz
,,PBC,validation,No independent discrete phase label assigned; evaluate named finite-size features,0.118,0.577,RN_only,8;12;16,,RN_only,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/47fe8b9f5ac83152a9c4a10546b954ab8f1d54f752f701637c3f776737d7bee2.npz;results/stage6_v1/reference_atlas/cache/548d449959987cf637550d7e7d4ce142c403056b56f411b4d35d590e9d39efff.npz;results/stage6_v1/reference_atlas/cache/ef8b99da8c822e026590f0f4bc41ecef892b17d41ae381620e7ac9b814dced0c.npz
antiphase-like,"{'classical_defect_gap': 0.7759999999999998, 'local_h_over_gap': 0.023195876288659798, 'criterion': 'h/Delta_classical<=.05; N12/16 order, fourth-moment Binder, polarization and<2%size drop jointly agree. This local energy-scale check is NOT an operator-norm perturbation theorem or an exact phase boundary.'}",PBC,validation,N12/16 period4 amplitude stable (<6% fall) and complex-order Binder high; finite-size ordered interior evidence,0.018,0.597,Rlarge_ED_interior,8;12;16,antiphase-like,R0_extension_low_field_multiN,"Classical ordered limit with a nonzero independently enumerated defect gap, small transverse field relative to that local scale, and strong multi-size order/Binder evidence.",results/stage6_v1/reference_atlas/cache/7b98229cd466974a5f0465b0774d5b35c680384643edb3df260a94fa47349919.npz;results/stage6_v1/reference_atlas/cache/83badf26223a52dfd14af0c0e39660d07c9c7c5d917ff367742842fc758e1b1a.npz;results/stage6_v1/reference_atlas/cache/06f19c31183d783b00d1626df36941ecad7a885979becc07a3a53d1a1a0533d6.npz
antiphase-like,,PBC,validation,N12/16 period4 amplitude stable (<6% fall) and complex-order Binder high; finite-size ordered interior evidence,0.058,0.597,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/617d12e53044fc4ab8d5af83fd33d46e40e49579e9e11aee9f02087c8bc9b7b0.npz;results/stage6_v1/reference_atlas/cache/c95b4228a85ececf5e3f27ee8aee5517c96fc18db8de109dead96a6ce054fcb2.npz;results/stage6_v1/reference_atlas/cache/1a2c6d22e82ca1cb2c469b6a3e1a61fe27a52cd78f85a9d41ac1eddccc110861.npz
antiphase-like,,PBC,validation,N12/16 period4 amplitude stable (<6% fall) and complex-order Binder high; finite-size ordered interior evidence,0.118,0.597,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/4c3e7372d0c689eb84ae8314e0eed11766118ceb64d4f651f147ca215218bfd8.npz;results/stage6_v1/reference_atlas/cache/a3c3dc6b2e59dabf85142c39eec0907236509ffa9f81511ef3afbce2c52f031a.npz;results/stage6_v1/reference_atlas/cache/b2dcc59cac51f41d11c741d7d75ce355f6352cf7e8b6314fce4a68701dec44f8.npz
antiphase-like,,PBC,validation,N12/16 period4 amplitude stable (<6% fall) and complex-order Binder high; finite-size ordered interior evidence,0.29,0.715,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/f4342c27afa99c971fdd0132ab3840932be725106d401c8f209ab7ee3fafce7f.npz;results/stage6_v1/reference_atlas/cache/5b29b7ed3d4766fc5211d13345549cc2931ef66c941c59851b2871283a43530e.npz;results/stage6_v1/reference_atlas/cache/6e6bd99108c3c22868d4c55a44b74ccba45eba5fb5c1dde37d33ffcde1e79815.npz
paramagnetic-like,,PBC,validation,"Both order factors decrease with N12->16, polarization and stable sector gap; finite-size gapped-side evidence, no guarantee against very large xi",0.43,0.715,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/c793fbc1a3480ab1c8abccaf01f3e00dc9ff6401983388b5895be4b0b75cd663.npz;results/stage6_v1/reference_atlas/cache/54ff06cb031e1d9e1d6e995af69f6a7e829e4d1f93348d0ae39730fce3ec8413.npz;results/stage6_v1/reference_atlas/cache/f8a5406f38b5b31c0c07a69c13d83402cca55d6af9b5ff66080f5aa8ba9ecd20.npz
paramagnetic-like,,PBC,validation,"Both order factors decrease with N12->16, polarization and stable sector gap; finite-size gapped-side evidence, no guarantee against very large xi",0.57,0.715,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/287a092bbb601e0a59c27c87929d3c35efb9f834a4746e0dd78d8b8cade43e17.npz;results/stage6_v1/reference_atlas/cache/9920e3c9cad531cf196880fefcba4e839ae497636524ea96fa8173eb81dc7925.npz;results/stage6_v1/reference_atlas/cache/9853c870a08e83c24ce71ae16b2464ec164aaa2bf448b1233e18df9fa2b27a1b.npz
antiphase-like,,PBC,validation,N12/16 period4 amplitude stable (<6% fall) and complex-order Binder high; finite-size ordered interior evidence,0.29,0.915,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/22115355fb76cc0a01a66ef67f2be41acf24634c9f140dd871c56a29f9b9e869.npz;results/stage6_v1/reference_atlas/cache/c10ea17ac18dad0f2921ffb6de364a3886e184016b093add8e15fdd4e710dbb9.npz;results/stage6_v1/reference_atlas/cache/bb3f118e08190afb2c19f71ae6f31d746f771c6d1b9f040fba35864fde457a73.npz
antiphase-like,,PBC,validation,N12/16 period4 amplitude stable (<6% fall) and complex-order Binder high; finite-size ordered interior evidence,0.43,0.915,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/74a290d269ce8bbb6d5a2938fd148f567790f3c0b7c29ba4a8bd605abb11910c.npz;results/stage6_v1/reference_atlas/cache/324a1eb77345fcb25086b07895e80692ccd79a2263801971a01a83cd50bb0087.npz;results/stage6_v1/reference_atlas/cache/3e5a8acc649b61835478dc569ef88db82de3cefce27999a36ee2d960054ec581.npz
antiphase-like,,PBC,validation,N12/16 period4 amplitude stable (<6% fall) and complex-order Binder high; finite-size ordered interior evidence,0.57,0.915,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/8583d653f99e8a133055dfbb19f4114c5428b2931350be090c648db78d8e47ba.npz;results/stage6_v1/reference_atlas/cache/23da3b86b4467a5b67a5109913a72dfd8ee0c18d76dec55a2527cee178915d78.npz;results/stage6_v1/reference_atlas/cache/c86f60555530e349ddfe92a37fad720534e109ce6ac65ff3309508a495056fa5.npz
ferro-like,,PBC,validation,Small-field continuation from classical ferro; m0 and fourth moment consistent; not a proved exact region boundary,0.165,0.115,R0_extension,8;12;16,ferro-like,R0_extension,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/5351e2c240e677ab6e906da858df871cac0f202f3971a9d7304548c136dd3c18.npz;results/stage6_v1/reference_atlas/cache/4b0cc8ff4e0248a69738f852e38b44f1bd80e5d76ed32ad0b162c62bfe661d4e.npz;results/stage6_v1/reference_atlas/cache/f1352262268ac0a968420b803bb830f569475a1532f6386e2181ded8bf255257.npz
paramagnetic-like,,PBC,validation,"High-field continuation, transverse polarization and absence of strong order; interior only",1.715,0.115,R0_extension,8;12;16,paramagnetic-like,R0_extension,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/0e974575bac6ac2a925b98ce0cb8105673c4a9211d33c2f84844fabd8aee55cd.npz;results/stage6_v1/reference_atlas/cache/fb8a811457e3676ae6235d2706ea016a6e019b5e97524c70383ee284bc88a44a.npz;results/stage6_v1/reference_atlas/cache/bc58b8350f47f20deea4b06434447c903284dacd6e15fc5e6b995c6dce4e8852.npz
ferro-like,,PBC,validation,"N12/16 ferro order amplitude stable (<6% fall), high Binder; small positive field continuation, finite-size evidence only",0.165,0.315,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/218f0f34df1161ffc3d1051fa9d12e5b6971177da75eab5d5cdffc56d6f06106.npz;results/stage6_v1/reference_atlas/cache/245b21fbe73abcdf77749fc6a006ee64b1d05c638fdaf6fdf0b55599d28496e9.npz;results/stage6_v1/reference_atlas/cache/af8b398e355ed1ba4c5450c969fc8854d909e960bae4fbb90d5a2e9097bc1435.npz
paramagnetic-like,,PBC,validation,"High-field continuation, transverse polarization and absence of strong order; interior only",1.715,0.315,R0_extension,8;12;16,paramagnetic-like,R0_extension,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/1e8ca51c45ce11bf7f93dd5e34227ad24d59fd5269b454f424093913f407c065.npz;results/stage6_v1/reference_atlas/cache/ae950f7dce52cfab7cb18f16cd880a3bb866036d06f2482d15c4d037c3e4fab2.npz;results/stage6_v1/reference_atlas/cache/c93bd91e3eb5584ebafbc550a1b4aa491895f37a2996f88fd5dc3f409ceece93.npz
antiphase-like,,PBC,validation,N12/16 period4 amplitude stable (<6% fall) and complex-order Binder high; finite-size ordered interior evidence,0.165,0.815,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/163e8fe665ea52a91c592fe48ded12475326a35a1edea10d7ad00a5f7ee89606.npz;results/stage6_v1/reference_atlas/cache/990b2f6c06d1d18b3da480406d2d74f5475864fff730a2292e98878f0b37b8a8.npz;results/stage6_v1/reference_atlas/cache/379bb85c56b0428980a63f6175c750ed84a026d816ba9481029284077fd49fd4.npz
paramagnetic-like,,PBC,validation,"High-field continuation, transverse polarization and absence of strong order; interior only",1.715,0.815,R0_extension,8;12;16,paramagnetic-like,R0_extension,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/d26065baf153117e621cf534aa4f9dcced951817ae410ea983c2004f717b3563.npz;results/stage6_v1/reference_atlas/cache/c65f194b09805b1f228107f849fcd94b015c8009d21fe2c8da950b8029e76abc.npz;results/stage6_v1/reference_atlas/cache/eb0290c12caaddcbcdd1016f6ba834fc6d67d9a7b7d3902ba1b8cbdeb3b3725e.npz
,,OBC,MPS_main_slice,antiphase_compatible_incomplete_controls,0.1,0.8,,64,,Rlarge_unresolved,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/a121541775c00d12acfb22ba873d2964f2ade2e824aeed20e8fd2ec6f1b57d24.npz
,,OBC,MPS_main_slice,antiphase_compatible_incomplete_controls,0.15,0.8,,64,,Rlarge_unresolved,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/c76738943be4316d49fde824543d149522bb01285091086d08a334bbb94a6860.npz
,,OBC,MPS_main_slice,antiphase_compatible_incomplete_controls,0.2,0.8,,64,,Rlarge_unresolved,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/8e916f0398b64a6b3ef2a711c037895382a912a2f6e90639e83a0aeda7a85ecc.npz
,,OBC,MPS_main_slice,antiphase_compatible_incomplete_controls,0.25,0.8,,64,,Rlarge_unresolved,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/0259b5e7ed9438fd43bd881fb08085efe4d9928935dce7023a10b076875b01a5.npz
,,OBC,MPS_main_slice,supported_antiphase_sample,0.3,0.8,,64;96;128,antiphase_supported_OBC_sample,Rlarge_OBC_sample,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/f4975d7a29fbddcf4420dc0a3363a8a541a16066666e06d3e1704b98ce45382b.npz;results/stage6_v1/floating_boundary_scan/cache/d843fd1bc226f767f0d53417ef52e0ed261886792295765b92d4df95b86c7476.npz;results/stage6_v1/floating_boundary_scan/cache/5d4536c966d068ad259b23835e61854437217f63feb9256f8213918c13e32875.npz;results/stage6_v1/floating_boundary_scan/cache/2de01a50b5965911247e406a1c16e07622b0eded2dcaffb4674ffd65b0c60b25.npz;results/stage6_v1/floating_boundary_scan/cache/626dc9b3c8af573982aaabb449376cc865d4d1f6a59f5d0d03cc044f6b0b7303.npz
,,OBC,MPS_main_slice,finite_size_crossover_unresolved,0.3125,0.8,,96;128,,Rlarge_unresolved,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/28e3adb6d93afa48d7df4a796f2ef5ce218d4b2743b5a87c882fd17bd047cd9c.npz;results/stage6_v1/floating_boundary_scan/cache/b1bdb1d9f5dcca99c97e825e11b95ada61afa391671fde30f60899af02d52d4b.npz
,,OBC,MPS_main_slice,finite_size_crossover_unresolved,0.325,0.8,,96;128,,Rlarge_unresolved,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/5fb975c084adafaa6b4172159555cb84d63184e3d3ad630c4b00e67dd4cc016e.npz;results/stage6_v1/floating_boundary_scan/cache/6660266ad612b23194a11c692bf75e8c4bba0ffcdf75a14876c15ed33db6e813.npz;results/stage6_v1/floating_boundary_scan/cache/df61bfb21bce2aef9607e6cc30eb647b3a0e5939967e3e0531051969343a4c7d.npz;results/stage6_v1/floating_boundary_scan/cache/16bfaa537f310bd9509bf86c1ed3fc6b08e9d8046fa24d9e094e320562786099.npz
,,OBC,MPS_main_slice,finite_size_crossover_unresolved,0.3375,0.8,,96;128,,Rlarge_unresolved,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/9b6c50e2d8d6367bc08bf0f8dbcd76c32dfb11c489c27fdf521bdd853275d9b1.npz;results/stage6_v1/floating_boundary_scan/cache/abdfd6d26147a9b271d633d3b4a84f389a19a80fe1b8622777fa4f80bfb89821.npz
,,OBC,MPS_main_slice,finite_size_crossover_unresolved,0.35,0.8,,64;96;128,,Rlarge_unresolved,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/8c91172aad84400357c26db2a248866c476373b07bb855ccd898e5028b263a62.npz;results/stage6_v1/floating_boundary_scan/cache/1f08678c8aca18bfe11390ad675a63520cf5166b6ebbb0d96c8f6338de93ed55.npz;results/stage6_v1/floating_boundary_scan/cache/b40aa080489caa9b67d8553e58f163809c3e4c3d28caf52dd05683bf7fdf891f.npz;results/stage6_v1/floating_boundary_scan/cache/b01aa8cdd129255100a5d00bf62fe2499ef70e08c80eac5aa1f10a836be52eba.npz;results/stage6_v1/floating_boundary_scan/cache/1dc156606ebdad12cbb2d5d73f5c2d0ff688c16c4f62910834583b0d999ab055.npz
,,OBC,MPS_main_slice,finite_size_crossover_unresolved,0.375,0.8,,96;128,,Rlarge_unresolved,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/5a6df06aa321cbd65f6e9e406f5ff795871517eaf750e4e6e09c0d5e0f33d031.npz;results/stage6_v1/floating_boundary_scan/cache/d87669b644059950b9cabe195954bdb67165c691db52c9333cad09e9b69607eb.npz
,,OBC,MPS_main_slice,candidate_floating_missing_convergence_or_size_controls,0.4,0.8,,64;96;128;160,,Rlarge_unresolved,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/43b3700a8f0c9f10417e6b2e3133f7cd5390fcec89bd093460e3469b5d51db30.npz;results/stage6_v1/floating_boundary_scan/cache/6b790e8404d881118afe47ef2191b84d82533185a2e35b54033eda9dbff08c5c.npz;results/stage6_v1/floating_boundary_scan/cache/d73c55c9f3e412e8daadb4241b341025ddeae009df1dea596b3f552a55fc71b8.npz;results/stage6_v1/floating_boundary_scan/cache/5b92107283f7b5bba26cb1b11e4c2068f9286512c51aa0aa275f4fa46540e350.npz;results/stage6_v1/floating_boundary_scan/cache/fe5db10cc1834ae36c5e2101f4127193f2f84afc7f2e2f7a7a9abfbf4ad76fd5.npz;results/stage6_v1/floating_boundary_scan/cache/7140a92fdeb2841e72b79cf3e068c263d3f29658791f38def1bcb97426c7541c.npz;results/stage6_v1/floating_boundary_scan/cache/4a99ab84b89f38ba4cdff5485ccef92425bd783c4b2e2e0ac11f9ad28897c0c5.npz;results/stage6_v1/floating_boundary_scan/cache/1478720020cc6eb50f1cc1e9fe886c57b02faef016d75bb6812be20def4bf268.npz
,,OBC,MPS_main_slice,candidate_floating_missing_convergence_or_size_controls,0.425,0.8,,96;128,,Rlarge_unresolved,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/0e2bb9704f43d4c813e5a3043c4d7f3ac4f29d9e7295a062d481595d2444d337.npz;results/stage6_v1/floating_boundary_scan/cache/b5a05f251a0abae8511ea9bc28f8b0017b365f73d70eb9319a9da24798ae7862.npz
,,OBC,MPS_main_slice,finite_size_crossover_unresolved,0.45,0.8,,64;96;128,,Rlarge_unresolved,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/d156c580048455199290c46a6c9c384861d34b2c2b8bd896ee7971b830b58dbc.npz;results/stage6_v1/floating_boundary_scan/cache/105ae86ed4066078bb21b27ee290e71f4737a266b4eafdff026f64e9abb02a14.npz;results/stage6_v1/floating_boundary_scan/cache/8e9d694d00fe680ad212a87afc1bc672dac626dc5c9f68267dcd39874b938af5.npz;results/stage6_v1/floating_boundary_scan/cache/f710fdfda039c991df7fa1bed53fac809182339a9a97bb36d9b733ba1649616d.npz;results/stage6_v1/floating_boundary_scan/cache/2cf7e8636b901f0ed193510682340bc58f84f92b76106a33f999889691d82b9c.npz
,,OBC,MPS_main_slice,supported_floating_sample,0.475,0.8,,96;128,floating_supported_OBC_sample,Rlarge_OBC_sample,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/29f2509fa8e186d7f51b123920d68b83911df249c2625a3ecf00176f2df917a2.npz;results/stage6_v1/floating_boundary_scan/cache/b652d7297016303a6ee67d4b9e3be60e574e069bab21cbc5a155a43764327f5b.npz;results/stage6_v1/floating_boundary_scan/cache/0057cd2c324f909b5d4f993ec2fd9f3c204fbb2a2585311be55f409e00953482.npz;results/stage6_v1/floating_boundary_scan/cache/e29936f3ec1c730c89f3695700c38821bb27f7e5d82b82772b50694b12c37c0c.npz
,,OBC,MPS_main_slice,finite_size_crossover_unresolved,0.4875,0.8,,96;128,,Rlarge_unresolved,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/a38a2978ef6968b407717c36253c1fe13bc296c93890e8be4d63b9f453ed384b.npz;results/stage6_v1/floating_boundary_scan/cache/0a7c827dd56fcd12c7f43b65d281aa7659d3e28fd7e6dedf2cea2b9fa924e6da.npz
,,OBC,MPS_main_slice,finite_size_crossover_unresolved,0.5,0.8,,64;96;128;192,,Rlarge_unresolved,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/b3c6cba5cc0d7dfe6277aef2d155930338032cc207beea82ba4f4ced69c87cbf.npz;results/stage6_v1/floating_boundary_scan/cache/6ecc0dd8853ee23ec59ce7e5e19ae5b51f806d955b938da5a7023d87ce340b97.npz;results/stage6_v1/floating_boundary_scan/cache/8d9d30673cf442cfdcd435970253cb6f0a95a4bdc1127d354a52b612dd37db04.npz;results/stage6_v1/floating_boundary_scan/cache/81986acc00ac38735700d3e3a2afcd4d7e6f1a997addaea8110fb3b798715e02.npz;results/stage6_v1/floating_boundary_scan/cache/7cbc2a617f60168602bc5169659eeb370a3ed66b76333141ab55ce0d68d83bdd.npz;results/stage6_v1/floating_boundary_scan/cache/a243d0886b7cb6174710b52d04465f50b378d0aa9a062fa68d15c10aee94d25d.npz;results/stage6_v1/floating_boundary_scan/cache/b1cd8968ac983dae03edbc43ec627e620e5560a6c7b1db1eac5556304ba42724.npz
,,OBC,MPS_main_slice,finite_size_crossover_unresolved,0.525,0.8,,96;128,,Rlarge_unresolved,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/0fbe12d7f0a0d85c78c4f8603656c5256dbf7d0a27fdf49b25c2f5d0a07c562b.npz;results/stage6_v1/floating_boundary_scan/cache/4d2f8031e4398c56717cb42076bc62ae71edd44236528e3f67849538e42e0fb7.npz;results/stage6_v1/floating_boundary_scan/cache/883e0a3c664d736ed5f6c4a3f0a03cea30019ac972fb694a53a2dff4faedd748.npz;results/stage6_v1/floating_boundary_scan/cache/a52a81871212b2c1cec5d2746e5a7effe0476a9c387ee13e4a9f61321fd0ccc8.npz
,,OBC,MPS_main_slice,finite_size_crossover_unresolved,0.55,0.8,,64;96;128,,Rlarge_unresolved,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/8cff3980c2bf2f3edcc0204b8bd2c1fad00811b5df62c45be87be9cbf5a6e493.npz;results/stage6_v1/floating_boundary_scan/cache/b2949736789facf762ad58bf19bd9aaac3010a107aedb6375630d332e545002b.npz;results/stage6_v1/floating_boundary_scan/cache/40b27101c0e043b19a9825393fadcfc66b6fc5330144d6be37d777a5b8c4fdc1.npz;results/stage6_v1/floating_boundary_scan/cache/7b1b3168e7b2a9632cfdb0ea89982cc3820f2ff9f13ae824fa8a7a8599937396.npz;results/stage6_v1/floating_boundary_scan/cache/198eb974fbad6bac6b8861b623fa08c529dff32d4f3d8fdef60e4c9529d84a58.npz
,,OBC,MPS_main_slice,finite_size_crossover_unresolved,0.6,0.8,,64;96;128,,Rlarge_unresolved,"Multi-N, chi, initial-state, stopping and signed-correlation/Friedel/entropy evidence; discrete finite-size support, not rigorous exclusion of arbitrarily large gapped correlation lengths.",results/stage6_v1/floating_boundary_scan/cache/2bea793514f4df77c10f8548c1ba9db5b91e923dc534abcb01c35e6d8c7358d7.npz;results/stage6_v1/floating_boundary_scan/cache/f739286cf9e6dcbcab4a72c6beeae7bd0ce1897a00dbf53965c678084a66498e.npz;results/stage6_v1/floating_boundary_scan/cache/7210c6ab9afe324b6392e0b6cf6e4109d05e22b2bc3f0a16f08d739be6b89e61.npz;results/stage6_v1/floating_boundary_scan/cache/f2521270635f68e5d676569bb3551f8b194f235a9b428b9b647d7d75fcb160cf.npz;results/stage6_v1/floating_boundary_scan/cache/29a72e68ba36f284a2686d62df40af0e586c56e4c1cdf41b7308d062e896e72d.npz
